X,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_04719,0,194.0191603,290.3503309,315.407943,433.7584662,291.1155552,314.459526,182.0950691,612.6222546,234.8254728,239.9153546,210.0547818,865.6220043,236.9875263,287.8134337,142.5708059,0,148.1872039,140.4279706,220.1096448,872.3504918,238.7089183,251.8297076,513.6579501
MGG_04720,0,45.4408833,26.95869513,18.49394201,35.41863384,40.65636713,29.70923376,7.375795321,0,24.50648732,24.2052711,24.15414329,25.76578058,10.12096137,14.74514511,26.48573406,0,32.45715623,14.41765611,34.43584939,36.18018995,12.604167,10.26432243,11.30919083
MGG_04723,0,48.86616718,40.14112426,30.99427801,10.26555058,32.07120335,31.08520526,14.4214085,0,35.93694466,6.552966175,30.3602214,4.387773457,2.81209995,3.243399128,31.07149049,0,28.55760629,25.37090706,30.29857028,2.808823929,2.772461304,3.284043704,8.623726247
MGG_04724,0,12.23170262,11.68341271,11.90791269,12.77103169,19.16703338,18.09522223,1.477510338,0,15.34096782,16.78420536,12.44193062,7.679618767,1.680623362,3.096381226,4.973990625,0,9.752667026,1.94948594,6.984374265,9.352564823,3.550572262,1.892580253,3.568073258
MGG_04725,0,29.48007571,36.77307458,33.51841237,10.09233081,10.51001247,18.05858182,3.544515809,0,28.26443889,22.54837251,41.78709692,5.392168313,1.151937035,1.884214309,2.545599465,0,18.71715226,11.22426052,26.80858399,11.5059506,3.634238796,1.412525236,4.565190237
MGG_04726,0,31.13264985,94.62351278,43.87664271,13.56621309,11.526067,19.0122179,4.446935712,297.8563507,20.14798569,150.6302739,110.6391355,6.354993741,1.051065973,3.802121835,8.347168263,0,25.79513336,120.9053178,90.03025662,7.086430187,6.735627691,2.876864697,6.322531673
MGG_04727,0,59.35714706,28.47867415,37.38184049,31.73323012,29.36544426,35.41978361,20.12188535,0,44.19299899,34.86819163,20.82149515,30.61083612,15.84982675,18.89670056,27.24895373,0,72.03764476,39.59942771,39.40885391,31.66272426,29.06731113,18.63928073,20.70782663
MGG_04728,0,12.42743451,10.20851893,3.71595658,2.930367327,11.17371056,10.16415819,2.305342846,0,7.659628928,2.618820778,7.279876916,2.922542248,2.996866084,0.707012045,4.13912635,0,5.072325739,8.11136292,12.10849,2.993374816,0.738655755,2.624863812,2.120847533
MGG_04729,354.0711848,87.52038327,7.657310658,25.29219253,10.59943734,21.09017795,15.8128156,3.362362933,0,62.56116466,18.3339517,8.494211903,4.092051572,2.185477846,3.437277739,24.75150482,0,150.919852,7.098296742,7.06413591,3.929277283,2.585606288,2.871290317,3.711929864
MGG_04732,0,23.0158192,68.27293047,204.2938756,141.82795,95.6247592,211.4816758,44.83010697,0,30.34176982,43.38145392,80.39538192,162.9191921,33.455654,35.98420465,63.3487584,0,23.74602832,77.40699365,74.99959667,130.4328441,45.22009818,58.84189148,35.13239633
