Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_14006,0,0,7.610705074,7.512027406,9.64079682,4.950092791,1.19149188,0.567438089
MGG_12090,0,8.028218824,1.030541673,4.817378912,0.274645644,3.519993295,9.164119402,4.68531447
MGG_10282,0,14.13276818,1.884112592,15.6057896,0,0,0,0
MGG_15459,0,0,0,15.29587,10.9171698,1.399724155,3.00676454,1.443903777
MGG_00511,0,0.757264125,17.45666886,9.67703698,1.18735889,2.266060745,0.642744115,0.421306903
MGG_14156,0,0,0,5.456877489,21.28757202,0.357220619,1.928232345,3.528230879
MGG_10244,0,0,0,0,0,28.51593131,4.101284379,0
MGG_17582,0,0,1.256075062,2.557994311,4.89586138,7.64024723,5.783587845,10.56156441
MGG_15458,0,0,1.884112592,18.04261436,2.181245081,1.997532109,4.463148635,4.224874213
MGG_02106,0,1.182332544,8.535735307,0.639498578,3.554235523,8.396072928,5.321775857,5.2696785
MGG_02207,0,0.378632062,0,12.94211037,16.60396888,1.286760577,0.90763633,0.988744992
MGG_06523,0,3.266257878,9.220721644,9.838992507,2.320409301,4.293968195,2.960731123,1.499963073
MGG_08433,0,0,0,29.17191392,2.347273767,0.210211994,1.672267202,0.219116422
MGG_12690,0,0.378632062,0,19.61040451,4.098788914,2.153097167,4.149247312,3.494378997
MGG_07303,0,3.266257878,5.498263703,3.444006729,0.7774696,9.181056947,5.958342743,6.71374299
MGG_16422,0,12.55297839,4.170729327,6.830249672,2.138698322,3.49450468,4.946899647,1.28084665
MGG_04735,0,0,0,24.57425432,6.322580754,1.315918898,1.469396049,2.544928073
MGG_16137,0,7.981782467,3.088829629,10.47849108,1.229905649,5.997483053,7.011076878,0.786554511
MGG_01530,0,0,0,2.369244257,23.68611307,3.817680252,4.93284152,2.376428761
MGG_16475,0,0,0,36.67263143,0,0,0.545772074,0
MGG_02202,0,0,0,32.34261228,2.536825893,0.328062298,1.491335074,2.398796887
MGG_16989,0,25.76822658,1.030541673,7.48523288,3.433856846,0.328062298,1.272476276,0
MGG_17240,0,0,0,30.09871231,1.631953793,0.984186894,4.728040849,2.561854013
MGG_17244,0,0,0,18.3567087,12.88510154,1.698628132,4.778979474,2.415722828
MGG_02212,0,0,0,4.068020677,16.3126181,7.872278131,8.156535341,4.118037094
MGG_04753,0,0,0,9.96016206,24.86001354,0.984186894,3.13868756,1.629168317
MGG_16840,0,3.075492856,9.743247735,3.428522099,0.727081694,10.53082156,9.671964806,4.612329234
MGG_15391,0,1.182332544,0,32.38489144,5.688195948,0.357220619,0.380827591,1.921430688
MGG_17426,0,3.486755688,6.582958792,11.89414242,2.100072136,5.370516778,6.200412589,6.336529489
MGG_16703,0,0,6.528805376,26.6716834,1.864052678,3.388880515,2.134079189,1.483037132
MGG_10531,0,0,2.061083347,28.11681081,0.45243605,2.325594407,8.202568758,1.134876177
MGG_08789,0,0,0,0,23.56110049,11.80188562,5.159807064,2.269752355
MGG_02223,0,0,0,2.353759627,23.78324802,7.097086212,7.468867001,2.595545183
