,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_15719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
MGG_15720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,8,3,108,63,32
MGG_15721,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,10,10,2
MGG_15722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_15723,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,20,25,10,175,73,53
MGG_15724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,10,2,2
MGG_15726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,8,2
MGG_15727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,21,6,98,25,23
MGG_15728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
MGG_15729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_15731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,8,4,1
MGG_15732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,5,98,44,15
MGG_15733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_15735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MGG_15736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,48,6,102,29,32
MGG_15737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,10,2
MGG_15738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,13,4,1
MGG_15739,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,22,0,90,82,13,415,404,188
MGG_15740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
MGG_15741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
MGG_15742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0
MGG_15743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
